"StationNumber","YYYYMMDD","DDVEC","FHVEC",   "FG",  "FHX", "FHXH",  "FHN", "FHNH",  "FXX", "FXXH",   "TG",   "TN",  "TNH",   TX",  "TXH", "T10N","T10NH",   "SQ",   "SP",    "Q",   "DR",   "RH",  "RHX", "RHXH",   "PG",   "PX",  "PXH",   "PN",  "PNH",  "VVN", "VVNH",  "VVX", "VVXH",   "NG",   "UG",   "UX",  "UXH",   "UN",  "UNH", "EV24"
273,20220528,  315,   61,   62,   80,    7,   30,   22,  130,    1,  119,   94,   23,  150,   13,   84,   24,  110,   67, 2274,    3,    6,    3,    1,     ,     ,     ,     ,     ,   70,   22,   84,    8,     ,   69,   90,   24,   54,   13,   35
275,20220528,  310,   41,   45,   70,   14,   20,    3,  120,    9,  113,   70,   23,  165,   12,   41,   24,   90,   55, 2059,    6,    2,    1,   22,10207,10219,    8,10180,   24,   63,   24,   81,   11,    4,   68,   94,   24,   39,   12,   31
277,20220528,  324,  122,  123,  150,    2,  110,   11,  190,    2,  122,  107,   22,  142,   11,  102,   24,   73,   44, 2064,    4,    4,    3,   22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   70,   80,   22,   59,   13,   32
278,20220528,  305,   31,   33,   50,   12,   10,   20,  110,   13,  114,   55,   23,  160,   15,   14,   24,  107,   65, 2316,    6,   28,   28,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   70,   95,   23,   47,   14,   35
279,20220528,  303,   50,   53,   80,   14,   30,   23,  130,    1,  110,   85,   24,  152,   15,   78,    6,   70,   43, 1849,   10,   28,   17,    1,10195,10207,    8,10167,   24,   58,    8,   84,   11,    5,   77,   92,   24,   58,   15,   28
280,20220528,  304,   55,   57,   80,   10,   30,   23,  140,   15,  113,   92,    4,  151,   12,   83,    6,   72,   44, 1902,   10,   16,    8,    3,10191,10205,   12,10163,   24,   57,    3,   80,   15,    7,   74,   90,   23,   51,   11,   29
283,20220528,     ,     ,   46,   70,    8,   20,    4,  120,   12,  118,   62,   24,  165,   15,   26,   24,  107,   66, 2270,    2,    2,    2,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   66,   90,   24,   41,   15,   35
285,20220528,  315,  121,  122,  150,    2,  110,   11,  190,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
286,20220528,  301,   67,   69,   90,   10,   40,   23,  150,    7,  110,   87,    1,  153,   15,   80,    6,   63,   38, 1789,   25,   26,    7,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   77,   92,   21,   56,   11,   27
290,20220528,  307,   43,   46,   60,    7,   20,   21,  120,    7,  112,   45,   24,  163,   13,    6,   24,   80,   49, 1917,    0,   -1,   -1,    1,10196,10209,    8,10171,   24,   65,   22,   81,    9,    5,   68,   94,   24,   47,   12,   29
308,20220528,  351,   71,   72,   80,    2,   50,    1,  110,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
310,20220528,  335,   53,   54,   70,   11,   30,   23,  120,   16,  130,  100,   24,  156,   14,   87,   24,  138,   85, 2746,    0,   -1,   -1,    1,10228,10241,    9,10197,   24,   73,    5,   83,   16,    3,   65,   79,    4,   55,   14,   43
312,20220528,  343,   76,   78,   90,    2,   70,    9,  120,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
313,20220528,  351,   72,   73,   80,    3,   60,   10,  110,   23,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
315,20220528,     ,     ,   58,     ,     ,     ,     ,  120,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
316,20220528,  346,   74,   76,  100,    3,   70,    7,  120,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
319,20220528,  340,   40,   43,   70,   15,   10,    5,  120,   12,  123,   68,    2,  168,   14,   30,    6,  129,   80, 2593,    0,    0,    0,    1,10226,10240,    9,10197,   24,   65,    2,   84,    7,     ,   69,   92,    5,   51,   12,   40
323,20220528,  341,   51,   53,   70,   14,   30,    1,  110,   11,  124,   81,    1,  156,   12,   64,    6,  142,   88, 2536,    4,    7,    7,   23,10226,10240,    9,10195,   24,     ,     ,     ,     ,     ,   69,   85,    2,   57,   11,   39
324,20220528,  341,   65,   67,   80,   15,   50,    4,  120,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
330,20220528,  337,   88,   90,  110,    1,   80,    9,  140,    1,  129,  107,   24,  152,   12,  105,   24,  132,   81, 2643,    0,    0,    0,    1,10223,10238,   10,10192,   24,     ,     ,     ,     ,     ,   65,   78,    2,   56,   13,   42
331,20220528,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
340,20220528,  330,   35,   37,   60,   13,    0,   23,  110,   15,  123,   51,   24,  165,   14,   -2,   24,     ,     ,     ,    0,   -1,   -1,    1,10222,10235,    8,10193,   24,   65,   23,   82,    8,    4,   67,   94,   23,   50,   13,     
343,20220528,  335,   58,   59,   70,    1,   20,   24,  120,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
344,20220528,  332,   43,   45,   60,   11,   20,   21,  100,    1,  120,   75,   24,  158,   12,   30,   24,  123,   76, 2310,    6,    3,    2,   20,10222,10235,    9,10191,   24,   69,   22,   81,   11,    3,   70,   88,   21,   50,   11,   36
348,20220528,  315,   47,   49,   70,   11,   20,   20,  140,   11,  119,   68,   23,  156,   14,     ,     ,  142,   87, 2766,    3,    7,    7,   19,10216,10229,    9,10186,   24,   64,   23,   81,   12,     ,   72,   93,   24,   54,   13,   43
350,20220528,  327,   38,   42,   60,   13,   20,    1,  110,   13,  123,   64,   23,  173,   14,   51,   24,  129,   80, 2424,    0,   -1,   -1,    1,10217,10230,    8,10190,   24,   65,    4,   82,   10,    4,   65,   92,    4,   44,   14,   38
356,20220528,  313,   43,   46,   70,   14,   20,   21,  110,   11,  114,   49,   24,  159,   12,   23,   24,  137,   85, 2792,    9,    3,    1,   18,10214,10226,    8,10186,   24,     ,     ,     ,     ,     ,   73,   97,   23,   51,   16,   42
370,20220528,  319,   41,   45,   60,    8,   20,    3,  120,   14,  124,   70,   24,  173,   13,   49,   24,  130,   80, 2451,    0,   -1,   -1,    1,10213,10228,    8,10188,   24,   67,   24,   82,    8,    3,   63,   87,   24,   41,   12,   38
375,20220528,  314,   30,   33,   50,    8,   10,   24,  100,   12,  122,   75,   24,  172,   12,   45,   24,  104,   64, 2137,    0,   -1,   -1,    1,10209,10223,    8,10184,   24,   70,    3,   83,    9,    4,   63,   86,    3,   43,   11,   33
377,20220528,  316,   37,   40,   60,   13,   20,    1,  110,   13,  127,   68,   24,  181,   14,   36,    6,  131,   81, 2712,    0,    0,    0,    1,     ,     ,     ,     ,     ,   70,    1,   84,    8,    2,   61,   85,    3,   35,   14,   42
380,20220528,  320,   30,   38,   60,   17,   20,    4,  100,   15,  121,   61,    2,  178,   13,   24,   24,  109,   68, 2208,    0,    0,    0,    1,10211,10228,    1,10185,   24,   70,    1,   83,   19,    4,   62,   88,    3,   37,   16,   34
391,20220528,  312,   18,   20,   40,   17,   10,    1,  100,    8,  131,   77,   24,  191,   14,   55,   24,  102,   63, 2269,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   60,   86,    4,   35,   16,   36
 
